operatingunit,psnu,psnuuid,fy17snuprioritization,cluster_psnu,cluster_snu1,cluster_psnuuid,cluster_fy17snuprioritization,cluster_set,cluster_submitter,cluster_date
Botswana,Gaborone District,VB7am4futjm,2 - Scale-Up: Aggressive,Greater Gabarone Cluster,[Clustered],VB7am4futjm,2 - Scale-Up: Aggressive,1,J. Rofenbender,1/9/2017
Botswana,Kgatleng District,yNcvm7JYBfi,2 - Scale-Up: Aggressive,Greater Gabarone Cluster,[Clustered],VB7am4futjm,2 - Scale-Up: Aggressive,1,J. Rofenbender,1/9/2017
Botswana,Kweneng East District,Uz8LWtC0vYF,2 - Scale-Up: Aggressive,Greater Gabarone Cluster,[Clustered],VB7am4futjm,2 - Scale-Up: Aggressive,1,J. Rofenbender,1/9/2017
Botswana,South East District,YksWHI1yLuv,2 - Scale-Up: Aggressive,Greater Gabarone Cluster,[Clustered],VB7am4futjm,2 - Scale-Up: Aggressive,1,J. Rofenbender,1/9/2017
Botswana,Francistown District,h1CepDrLWib,4 - Sustained,Greater Francistown Cluster,[Clustered],h1CepDrLWib,4 - Sustained,1,J. Rofenbender,1/9/2017
Botswana,North East District,nszh0FzynAQ,4 - Sustained,Greater Francistown Cluster,[Clustered],h1CepDrLWib,4 - Sustained,1,J. Rofenbender,1/9/2017
Botswana,Tutume District,gchw5PMi4N2,4 - Sustained,Greater Francistown Cluster,[Clustered],h1CepDrLWib,4 - Sustained,1,J. Rofenbender,1/9/2017
Cameroon,Djoungolo,vewKgey8sOW,1 - Scale-Up: Saturation,Yaounde Cluster,[Clustered],GvTDrgjcU6R,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,Nkolndongo,YuCzvkHV2X5,4 - Sustained,Yaounde Cluster,[Clustered],GvTDrgjcU6R,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,Biyem Assi,gOaZeiwAoCD,4 - Sustained,Yaounde Cluster,[Clustered],GvTDrgjcU6R,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,Cite Verte,NG7DU8YJlw7,4 - Sustained,Yaounde Cluster,[Clustered],GvTDrgjcU6R,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,Efoulan,JQIkiENA6nM,4 - Sustained,Yaounde Cluster,[Clustered],GvTDrgjcU6R,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,Deido,wE76sY8tY19,2 - Scale-Up: Aggressive,Doula Cluster,[Clustered],vewKgey8sOW,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,Cite de Palmiers,rjDWLPMhaY0,4 - Sustained,Doula Cluster,[Clustered],vewKgey8sOW,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,Nylon,AW764lDxjdr,4 - Sustained,Doula Cluster,[Clustered],vewKgey8sOW,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,Bonnassama,dWexWkTwCVe,4 - Sustained,Doula Cluster,[Clustered],vewKgey8sOW,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,New Bell,k7lIVnxWbm7,4 - Sustained,Doula Cluster,[Clustered],vewKgey8sOW,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,Logbaba,ZGqUbMqrxSK,4 - Sustained,Doula Cluster,[Clustered],vewKgey8sOW,[NOT DEFINED],1,S.Ally,1/17/2017
Cameroon,Mbangue,bIoxP4GA2JE,4 - Sustained,Doula Cluster,[Clustered],vewKgey8sOW,[NOT DEFINED],1,S.Ally,1/17/2017
Democratic Republic of the Congo,Bandalungwa,Ml7XhDDDSxr,4 - Sustained,Kinshasa Sustained Cluster,[NOT DEFINED],Ml7XhDDDSxr,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Binza-Meteo,hmiqnsA1RHG,4 - Sustained,Kinshasa Sustained Cluster,[NOT DEFINED],Ml7XhDDDSxr,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Binza-Ozone,PBd3TB3n1Df,4 - Sustained,Kinshasa Sustained Cluster,[NOT DEFINED],Ml7XhDDDSxr,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kinshasa,hKlzgWdCBWT,4 - Sustained,Kinshasa Sustained Cluster,[NOT DEFINED],Ml7XhDDDSxr,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Limete,grhcb3NRDtA,4 - Sustained,Kinshasa Sustained Cluster,[NOT DEFINED],Ml7XhDDDSxr,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Lingwala,u380fHid3Gr,4 - Sustained,Kinshasa Sustained Cluster,[NOT DEFINED],Ml7XhDDDSxr,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Matete,X8eXmYHQXAB,4 - Sustained,Kinshasa Sustained Cluster,[NOT DEFINED],Ml7XhDDDSxr,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Mont-Ngafula 1,WoBCQgvIkTL,4 - Sustained,Kinshasa Sustained Cluster,[NOT DEFINED],Ml7XhDDDSxr,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Ngaba,ZJ1ngXCyNVm,4 - Sustained,Kinshasa Sustained Cluster,[NOT DEFINED],Ml7XhDDDSxr,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Nsele,UsUtCapznDy,4 - Sustained,Kinshasa Sustained Cluster,[NOT DEFINED],Ml7XhDDDSxr,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kambove,mj8vc80DZnW,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kapolowe,iBIl1QevIrG,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kasenga,KtqjtVhTZdP,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kashobwe,abCVuLIqXPM,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kikula,jf7kv5ZPbM2,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kilwa,mLfokzGSDJb,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Kipushi,pCODWiMvHX4,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Likasi,PgK6EwJ52Ji,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Mufunga-Sampwe,sDKxk72Fmkh,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Panda,ItLFN5k82Cs,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Pweto,HklkyYEG7Gv,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
Democratic Republic of the Congo,Sakania,kloe3J4FH0k,4 - Sustained,Haut-Katanga Sustained,[NOT DEFINED],mj8vc80DZnW,4 - Sustained,1,L.Tally,1/25/2017
