"","cluster_psnuuid","operatingunit","psnu","psnuuid","fy17snuprioritization","cluster_psnu","cluster_snu1","cluster_fy17snuprioritization","cluster_set","cluster_submitter","cluster_date","uid"
"1","aeMCpJ3cC3w","Democratic Republic of the Congo","Kikimi","aeMCpJ3cC3w","1 - Scale-Up: Saturation","Kinshasa Saturation Cluster","[NOT DEFINED]","1 - Scale-Up: Saturation",1,"L.Tally","1/25/2017","nyBC5lz6KcO"
"2","aeMCpJ3cC3w","Democratic Republic of the Congo","Kimbanseke","IIWUbCKztLZ","1 - Scale-Up: Saturation","Kinshasa Saturation Cluster","[NOT DEFINED]","1 - Scale-Up: Saturation",1,"L.Tally","1/25/2017","nyBC5lz6KcO"
"3","aeMCpJ3cC3w","Democratic Republic of the Congo","Kingabwa","EaCSG0WmNZV","1 - Scale-Up: Saturation","Kinshasa Saturation Cluster","[NOT DEFINED]","1 - Scale-Up: Saturation",1,"L.Tally","1/25/2017","nyBC5lz6KcO"
"4","aeMCpJ3cC3w","Democratic Republic of the Congo","Kingasani","xnp6C0QwBUj","1 - Scale-Up: Saturation","Kinshasa Saturation Cluster","[NOT DEFINED]","1 - Scale-Up: Saturation",1,"L.Tally","1/25/2017","nyBC5lz6KcO"
"5","aeMCpJ3cC3w","Democratic Republic of the Congo","Masina 1","BQPR0UCqFyz","1 - Scale-Up: Saturation","Kinshasa Saturation Cluster","[NOT DEFINED]","1 - Scale-Up: Saturation",1,"L.Tally","1/25/2017","nyBC5lz6KcO"
"6","aeMCpJ3cC3w","Democratic Republic of the Congo","Masina 2","UQu4xUTufWE","1 - Scale-Up: Saturation","Kinshasa Saturation Cluster","[NOT DEFINED]","1 - Scale-Up: Saturation",1,"L.Tally","1/25/2017","nyBC5lz6KcO"
"7","aeMCpJ3cC3w","Democratic Republic of the Congo","Ndjili","ho0Fg1MrqMi","1 - Scale-Up: Saturation","Kinshasa Saturation Cluster","[NOT DEFINED]","1 - Scale-Up: Saturation",1,"L.Tally","1/25/2017","nyBC5lz6KcO"
"8","AEQ2u8KCBcz","Tanzania","Hanang DC","AEQ2u8KCBcz","4 - Sustained","Singida-Hanang-Ikungi Cluster","[Clustered]","4 - Sustained",1,"N.Solehdin","1/17/2017","jBakYxW6iuG"
"9","AEQ2u8KCBcz","Tanzania","Ikungi DC","pcW8gGVrMpY","4 - Sustained","Singida-Hanang-Ikungi Cluster","[Clustered]","4 - Sustained",1,"N.Solehdin","1/17/2017","jBakYxW6iuG"
"10","AEQ2u8KCBcz","Tanzania","Singida DC","aG6kXOW4ihG","4 - Sustained","Singida-Hanang-Ikungi Cluster","[Clustered]","4 - Sustained",1,"N.Solehdin","1/17/2017","jBakYxW6iuG"
