operatingunit,psnu,psnuuid,currentsnuprioritization,cluster_psnu,cluster_snu1,cluster_psnuuid,cluster_currentsnuprioritization,cluster_set,cluster_submitter,cluster_date
Botswana,Gaborone District,VB7am4futjm,2 - Scale-Up: Aggressive,Greater Gabarone Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,J. Rofenbender,1/9/2017
Botswana,Kgatleng District,yNcvm7JYBfi,2 - Scale-Up: Aggressive,Greater Gabarone Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,J. Rofenbender,1/9/2017
Botswana,Kweneng East District,Uz8LWtC0vYF,2 - Scale-Up: Aggressive,Greater Gabarone Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,J. Rofenbender,1/9/2017
Botswana,South East District,YksWHI1yLuv,2 - Scale-Up: Aggressive,Greater Gabarone Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,J. Rofenbender,1/9/2017
Botswana,Francistown District,h1CepDrLWib,4 - Sustained,Greater Francistown Cluster,[Clustered],,4 - Sustained,1,J. Rofenbender,1/9/2017
Botswana,North East District,nszh0FzynAQ,4 - Sustained,Greater Francistown Cluster,[Clustered],,4 - Sustained,1,J. Rofenbender,1/9/2017
Botswana,Tutume District,gchw5PMi4N2,4 - Sustained,Greater Francistown Cluster,[Clustered],,4 - Sustained,1,J. Rofenbender,1/9/2017
Cameroon,Djoungolo,vewKgey8sOW,1 - Scale-Up: Saturation,Yaounde Cluster,[Clustered],,1 - Scale-Up: Saturation,1,S.Ally,1/10/2018
Cameroon,Nkolndongo,YuCzvkHV2X5,4 - Sustained,Yaounde Cluster,[Clustered],,1 - Scale-Up: Saturation,1,S.Ally,1/10/2018
Cameroon,Biyem Assi,gOaZeiwAoCD,4 - Sustained,Yaounde Cluster,[Clustered],,1 - Scale-Up: Saturation,1,S.Ally,1/10/2018
Cameroon,Cite Verte,NG7DU8YJlw7,4 - Sustained,Yaounde Cluster,[Clustered],,1 - Scale-Up: Saturation,1,S.Ally,1/10/2018
Cameroon,Efoulan,JQIkiENA6nM,4 - Sustained,Yaounde Cluster,[Clustered],,1 - Scale-Up: Saturation,1,S.Ally,1/10/2018
Cameroon,Deido,wE76sY8tY19,2 - Scale-Up: Aggressive,Doula Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,S.Ally,1/10/2018
Cameroon,Cite de Palmiers,rjDWLPMhaY0,4 - Sustained,Doula Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,S.Ally,1/10/2018
Cameroon,Nylon,AW764lDxjdr,4 - Sustained,Doula Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,S.Ally,1/10/2018
Cameroon,Bonnassama,dWexWkTwCVe,4 - Sustained,Doula Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,S.Ally,1/10/2018
Cameroon,New Bell,k7lIVnxWbm7,4 - Sustained,Doula Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,S.Ally,1/10/2018
Cameroon,Logbaba,ZGqUbMqrxSK,4 - Sustained,Doula Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,S.Ally,1/10/2018
Cameroon,Mbangue,bIoxP4GA2JE,4 - Sustained,Doula Cluster,[Clustered],,2 - Scale-Up: Aggressive,1,S.Ally,1/10/2018
