operatingunit,snulist,psnuuid,priority_snu
Angola,_Military Angola,bSwiBL5Y4SW,Mil
Botswana,_Military Botswana,YUdVS82TqXZ,Mil
Burundi,_Military Burundi,yDmdrNI3wNW,Mil
Cameroon,_Military Cameroon,eky41asIrS2,Mil
Cote d'Ivoire,_Military Cote d'Ivoire,Ycl4U8e7gy2,Mil
Democratic Republic of the Congo,_Military Democratic Republic of the Congo,MTlUjdz0HYY,Mil
Ethiopia,_Military Ethiopia,zlwN645D4X7,Mil
Ghana,_Military Ghana,p1yWt0WB6GZ,Mil
Kenya,_Military Kenya,K8QjRAXFqNS,Mil
Lesotho,_Military Lesotho,dDOqoFnD5Be,Mil
Malawi,_Military Malawi,PQZgU9dagaH,Mil
Mozambique,_Military Mozambique,siMZUtd2cJW,Mil
Namibia,_Military Namibia,IQRztMexXwm,Mil
Nigeria,_Military Nigeria,Z1raiKJH6yv,Mil
Rwanda,_Military Rwanda,OAIa0wJPpZ2,Mil
South Africa,_Military South Africa,YuCXbH1INNN,Mil
South Sudan,_Military South Sudan,mEB5xPggDEd,Mil
Swaziland,_Military Swaziland,WtniIbuJk7k,Mil
Tanzania,_Military Tanzania,m4ZIAwNvHGu,Mil
Uganda,_Military Uganda,OELkOLxvZxB,Mil
Zambia,_Military Zambia,y0cygdhumHI,Mil
Zimbabwe,_Military Zimbabwe,BWcCmgezmbV,Mil
Caribbean Region,_Military Caribbean Region,utFDiGSMhJh,Mil
Central America Region,_Military Central America Region,jAW4qOepbSh,Mil
Dominican Republic,_Military Dominican Republic,r3Vu39JRKMk,Mil
Haiti,_Military Haiti,tfnVnn3ePQo,Mil
Asia Regional Program,_Military Asia Regional Program,xb1hEh9skqx,Mil
Burma,_Military Burma,Q6SLJ0iou4u,Mil
Cambodia,_Military Cambodia,pcib7Ubi755,Mil
Indonesia,_Military Indonesia,P9Plp51eAEF,Mil
Papua New Guinea,_Military Papua New Guinea,taJjLW2MrND,Mil
Vietnam,_Military Vietnam,EflfBjOI6Ph,Mil
Ukraine,_Military Ukraine,dmUww3Yc2a3,Mil
