indicator	standardizeddisaggregate	sex	age	resultstatus	otherdisaggregate	modality	numeratordenom	dt_ind_name
GEND_GBV	Age/Sex/ViolenceType	Female	<10		Physical and/or Emotional Violence		N	A_gend_gbv_u10_f_pev
GEND_GBV	Age/Sex/ViolenceType	Female	<10		Sexual Violence (Post-Rape Care)		N	A_gend_gbv_u10_f_sv
GEND_GBV	Age/Sex/ViolenceType	Male	<10		Physical and/or Emotional Violence		N	A_gend_gbv_u10_m_pev
GEND_GBV	Age/Sex/ViolenceType	Male	<10		Sexual Violence (Post-Rape Care)		N	A_gend_gbv_u10_m_sv
GEND_GBV	Age/Sex/ViolenceType	Female	10-14		Physical and/or Emotional Violence		N	A_gend_gbv_1014_f_pev
GEND_GBV	Age/Sex/ViolenceType	Female	10-14		Sexual Violence (Post-Rape Care)		N	A_gend_gbv_1014_f_sv
GEND_GBV	Age/Sex/ViolenceType	Male	10-14		Physical and/or Emotional Violence		N	A_gend_gbv_1014_m_pev
GEND_GBV	Age/Sex/ViolenceType	Male	10-14		Sexual Violence (Post-Rape Care)		N	A_gend_gbv_1014_m_sv
GEND_GBV	Age/Sex/ViolenceType	Female	15-19		Physical and/or Emotional Violence		N	A_gend_gbv_1519_f_pev
GEND_GBV	Age/Sex/ViolenceType	Female	15-19		Sexual Violence (Post-Rape Care)		N	A_gend_gbv_1519_f_sv
GEND_GBV	Age/Sex/ViolenceType	Male	15-19		Physical and/or Emotional Violence		N	A_gend_gbv_1519_m_pev
GEND_GBV	Age/Sex/ViolenceType	Male	15-19		Sexual Violence (Post-Rape Care)		N	A_gend_gbv_1519_m_sv
GEND_GBV	Age/Sex/ViolenceType	Female	20-24		Physical and/or Emotional Violence		N	A_gend_gbv_2024_f_pev
GEND_GBV	Age/Sex/ViolenceType	Female	20-24		Sexual Violence (Post-Rape Care)		N	A_gend_gbv_2024_f_sv
GEND_GBV	Age/Sex/ViolenceType	Male	20-24		Physical and/or Emotional Violence		N	A_gend_gbv_2024_m_pev
GEND_GBV	Age/Sex/ViolenceType	Male	20-24		Sexual Violence (Post-Rape Care)		N	A_gend_gbv_2024_m_sv
GEND_GBV	Age/Sex/ViolenceType	Female	50+		Physical and/or Emotional Violence		N	A_gend_gbv_o50_f_pev
GEND_GBV	Age/Sex/ViolenceType	Female	50+		Sexual Violence (Post-Rape Care)		N	A_gend_gbv_o50_f_sv
GEND_GBV	Age/Sex/ViolenceType	Male	50+		Physical and/or Emotional Violence		N	A_gend_gbv_o50_m_pev
GEND_GBV	Age/Sex/ViolenceType	Male	50+		Sexual Violence (Post-Rape Care)		N	A_gend_gbv_o50_m_sv
GEND_GBV	PEP						N	A_gend_gbv_pep
OVC_SERV	AgeLessThanTen		<01				N	A_ovc_serv_u1_unk
OVC_SERV	AgeLessThanTen		01-09				N	A_ovc_serv_0109_unk
OVC_SERV	AgeAboveTen/Sex	Female	10-14				N	A_ovc_serv_1014_f
OVC_SERV	AgeAboveTen/Sex	Male	10-14				N	A_ovc_serv_1014_m
OVC_SERV	AgeAboveTen/Sex	Female	15-17				N	A_ovc_serv_1517_f
OVC_SERV	AgeAboveTen/Sex	Male	15-17				N	A_ovc_serv_1517_m
OVC_SERV	AgeAboveTen/Sex	Female	18-24				N	A_ovc_serv_1824_f
OVC_SERV	AgeAboveTen/Sex	Male	18-24				N	A_ovc_serv_1824_m
OVC_SERV	AgeAboveTen/Sex	Female	25+				N	A_ovc_serv_o25_f
OVC_SERV	AgeAboveTen/Sex	Male	25+				N	A_ovc_serv_o25_m
OVC_SERV	Age/Sex/Service	Female	10-14		Economic Strengthening		N	A_ovc_serv_1014_f_econ
OVC_SERV	Age/Sex/Service	Male	10-14		Economic Strengthening		N	A_ovc_serv_1014_m_econ
OVC_SERV	Age/Sex/Service	Female	15-17		Economic Strengthening		N	A_ovc_serv_1517_f_econ
OVC_SERV	Age/Sex/Service	Male	15-17		Economic Strengthening		N	A_ovc_serv_1517_m_econ
OVC_SERV	Age/Sex/Service	Female	18-24		Economic Strengthening		N	A_ovc_serv_1824_f_econ
OVC_SERV	Age/Sex/Service	Male	18-24		Economic Strengthening		N	A_ovc_serv_1824_m_econ
OVC_SERV	Age/Sex/Service	Female	25+		Economic Strengthening		N	A_ovc_serv_o25_f_econ
OVC_SERV	Age/Sex/Service	Male	25+		Economic Strengthening		N	A_ovc_serv_o25_m_econ
OVC_SERV	Age/Sex/Service	Female	10-14		Education Support		N	A_ovc_serv_1014_f_edu
OVC_SERV	Age/Sex/Service	Male	10-14		Education Support		N	A_ovc_serv_1014_m_edu
OVC_SERV	Age/Sex/Service	Female	15-17		Education Support		N	A_ovc_serv_1517_f_edu
OVC_SERV	Age/Sex/Service	Male	15-17		Education Support		N	A_ovc_serv_1517_m_edu
OVC_SERV	Age/Sex/Service	Female	18-24		Education Support		N	A_ovc_serv_1824_f_edu
OVC_SERV	Age/Sex/Service	Male	18-24		Education Support		N	A_ovc_serv_1824_m_edu
OVC_SERV	Age/Sex/Service	Female	25+		Education Support		N	A_ovc_serv_o25_f_edu
OVC_SERV	Age/Sex/Service	Male	25+		Education Support		N	A_ovc_serv_o25_m_edu
OVC_SERV	Age/Sex/Service	Female	10-14		Other Service Areas		N	A_ovc_serv_1014_f_oth
OVC_SERV	Age/Sex/Service	Male	10-14		Other Service Areas		N	A_ovc_serv_1014_m_oth
OVC_SERV	Age/Sex/Service	Female	15-17		Other Service Areas		N	A_ovc_serv_1517_f_oth
OVC_SERV	Age/Sex/Service	Male	15-17		Other Service Areas		N	A_ovc_serv_1517_m_oth
OVC_SERV	Age/Sex/Service	Female	18-24		Other Service Areas		N	A_ovc_serv_1824_f_oth
OVC_SERV	Age/Sex/Service	Male	18-24		Other Service Areas		N	A_ovc_serv_1824_m_oth
